Method1,Method2,Metric,Size,Test_Type,P_Value,Decision
codon,python,energy_consumption,small,Wilcoxon,0.004329004,Reject H0
codon,cpp,energy_consumption,small,Wilcoxon,0.148989899,Fail to reject H0
codon,python,energy_consumption,medium,Wilcoxon,0.002164502,Reject H0
codon,cpp,energy_consumption,medium,Wilcoxon,0.428571429,Fail to reject H0
codon,python,energy_consumption,large,Wilcoxon,0.000174825,Reject H0
codon,cpp,energy_consumption,large,Wilcoxon,8.23E-05,Reject H0
codon,python,execution_time,small,T-test,9.72E-14,Reject H0
codon,cpp,execution_time,small,T-test,4.83E-06,Reject H0
codon,python,execution_time,medium,Wilcoxon,0.002164502,Reject H0
codon,cpp,execution_time,medium,Wilcoxon,0.004329004,Reject H0
codon,python,execution_time,large,Wilcoxon,0.000174825,Reject H0
codon,cpp,execution_time,large,Wilcoxon,8.23E-05,Reject H0
codon,python,cpu_usage,small,Wilcoxon,0.662337662,Fail to reject H0
codon,cpp,cpu_usage,small,Wilcoxon,0.002525253,Reject H0
codon,python,cpu_usage,medium,Wilcoxon,0.002164502,Reject H0
codon,cpp,cpu_usage,medium,Wilcoxon,0.004329004,Reject H0
codon,python,cpu_usage,large,Wilcoxon,0.000174825,Reject H0
codon,cpp,cpu_usage,large,T-test,1.88E-08,Reject H0
codon,python,mem_usage,small,Not Applicable,Not Applicable,Not Applicable
codon,cpp,mem_usage,small,Not Applicable,Not Applicable,Not Applicable
codon,python,mem_usage,medium,Wilcoxon,0.004846601,Reject H0
codon,cpp,mem_usage,medium,Wilcoxon,0.007000663,Reject H0
codon,python,mem_usage,large,Wilcoxon,0.000980856,Reject H0
codon,cpp,mem_usage,large,Wilcoxon,0.000565119,Reject H0
codon,python,compile_time,small,Not Applicable,Not Applicable,Not Applicable
codon,cpp,compile_time,small,T-test,2.53E-14,Reject H0
codon,python,compile_time,medium,Not Applicable,Not Applicable,Not Applicable
codon,cpp,compile_time,medium,T-test,6.63E-18,Reject H0
codon,python,compile_time,large,Not Applicable,Not Applicable,Not Applicable
codon,cpp,compile_time,large,T-test,7.72E-20,Reject H0
