Comparison,SIZE_CATEGORY,Metric,Improvement
codon_python,large,energy_consumption,98.67883582229597
codon_python,medium,energy_consumption,99.10380027087486
codon_python,small,energy_consumption,98.71000171490385
codon_python,large,execution_time,98.32828879024689
codon_python,medium,execution_time,97.66441496635171
codon_python,small,execution_time,96.65124813591905
codon_python,large,cpu_usage,-59.033684251271055
codon_python,medium,cpu_usage,-44.446683418394805
codon_python,small,cpu_usage,-0.8815774483981844
codon_python,large,mem_usage,59.95203484969359
codon_python,medium,mem_usage,61.17368824667642
codon_python,small,mem_usage,58.06216248523941
codon_cpp,large,energy_consumption,12.574115728209181
codon_cpp,medium,energy_consumption,20.82602644122178
codon_cpp,small,energy_consumption,-14.025708506406694
codon_cpp,large,execution_time,15.89473542272907
codon_cpp,medium,execution_time,6.5522837138683485
codon_cpp,small,execution_time,3.545463117766838
codon_cpp,large,cpu_usage,-62.326316920762146
codon_cpp,medium,cpu_usage,-64.55671539840377
codon_cpp,small,cpu_usage,-44.233624449444406
codon_cpp,large,mem_usage,-12.910025992778678
codon_cpp,medium,mem_usage,-4.699543005252022
codon_cpp,small,mem_usage,-12.526634684817841
codon_cpp,large,compile_time,-306.1028881140214
codon_cpp,medium,compile_time,-305.2336197596069
codon_cpp,small,compile_time,-310.7989481424951
