"Method1","Method2","Metric","Size","Test_Type","P_Value","Decision"
"codon","python","energy_consumption","small","Wilcoxon","8.22706705059646e-05","Reject H0"
"codon","cpp","energy_consumption","small","Wilcoxon","4.11353352529823e-05","Reject H0"
"codon","python","energy_consumption","medium","Wilcoxon","0.000102838338132456","Reject H0"
"codon","cpp","energy_consumption","medium","Wilcoxon","0.000102838338132456","Reject H0"
"codon","python","energy_consumption","large","T-test","4.02349146921008e-20","Reject H0"
"codon","cpp","energy_consumption","large","Wilcoxon","4.57059280588692e-05","Reject H0"
"codon","python","execution_time","small","Wilcoxon","8.22706705059646e-05","Reject H0"
"codon","cpp","execution_time","small","Wilcoxon","4.11353352529823e-05","Reject H0"
"codon","python","execution_time","medium","Wilcoxon","0.000102838338132456","Reject H0"
"codon","cpp","execution_time","medium","Wilcoxon","0.000102838338132456","Reject H0"
"codon","python","execution_time","large","Wilcoxon","0.000102838338132456","Reject H0"
"codon","cpp","execution_time","large","Wilcoxon","4.57059280588692e-05","Reject H0"
"codon","python","cpu_usage","small","Wilcoxon","0.16717400246812","Fail to reject H0"
"codon","cpp","cpu_usage","small","T-test","2.55672756663118e-07","Reject H0"
"codon","python","cpu_usage","medium","Wilcoxon","0.0878239407651172","Fail to reject H0"
"codon","cpp","cpu_usage","medium","T-test","0.000213432204565617","Reject H0"
"codon","python","cpu_usage","large","T-test","2.74401418036796e-08","Reject H0"
"codon","cpp","cpu_usage","large","T-test","4.95174183577022e-06","Reject H0"
"codon","python","mem_usage","small","Not Applicable","Not Applicable","Not Applicable"
"codon","cpp","mem_usage","small","Not Applicable","Not Applicable","Not Applicable"
"codon","python","mem_usage","medium","Not Applicable","Not Applicable","Not Applicable"
"codon","cpp","mem_usage","medium","Not Applicable","Not Applicable","Not Applicable"
"codon","python","mem_usage","large","Not Applicable","Not Applicable","Not Applicable"
"codon","cpp","mem_usage","large","Not Applicable","Not Applicable","Not Applicable"
"codon","python","compile_time","small","Not Applicable","Not Applicable","Not Applicable"
"codon","cpp","compile_time","small","Wilcoxon","4.11353352529823e-05","Reject H0"
"codon","python","compile_time","medium","Not Applicable","Not Applicable","Not Applicable"
"codon","cpp","compile_time","medium","T-test","1.18874091483189e-31","Reject H0"
"codon","python","compile_time","large","Not Applicable","Not Applicable","Not Applicable"
"codon","cpp","compile_time","large","Wilcoxon","4.57059280588692e-05","Reject H0"
