Comparison,SIZE_CATEGORY,Metric,Improvement
codon_python,large,energy_consumption,82.56595886301882
codon_python,medium,energy_consumption,83.89699727232443
codon_python,small,energy_consumption,84.40883328240713
codon_python,large,execution_time,79.03358203678985
codon_python,medium,execution_time,79.0956092735992
codon_python,small,execution_time,77.12745510977925
codon_python,large,cpu_usage,-8.705597362343267
codon_python,medium,cpu_usage,-3.0567610804189203
codon_python,small,cpu_usage,-3.760258037012376
codon_python,large,mem_usage,0
codon_python,medium,mem_usage,0
codon_python,small,mem_usage,0
codon_cpp,large,energy_consumption,-409.38021304824576
codon_cpp,medium,energy_consumption,-437.5248435851325
codon_cpp,small,energy_consumption,-674.4053231344739
codon_cpp,large,execution_time,-218.75605206100408
codon_cpp,medium,execution_time,-196.82436606654448
codon_cpp,small,execution_time,-155.13491917633468
codon_cpp,large,cpu_usage,-19.828408748843415
codon_cpp,medium,cpu_usage,-13.111800449021773
codon_cpp,small,cpu_usage,-29.11020880001449
codon_cpp,large,mem_usage,0
codon_cpp,medium,mem_usage,0
codon_cpp,small,mem_usage,0
codon_cpp,large,compile_time,-508.8905831778334
codon_cpp,medium,compile_time,-499.33203046431976
codon_cpp,small,compile_time,-507.94019583286865
