"Method1","Method2","Metric","Size","Test_Type","P_Value","Decision"
"codon","python","energy_consumption","small","Wilcoxon","2.16501764489381e-05","Reject H0"
"codon","cpp","energy_consumption","small","Wilcoxon","0.000174825174825175","Reject H0"
"codon","python","energy_consumption","medium","Wilcoxon","0.000666000666000666","Reject H0"
"codon","cpp","energy_consumption","medium","Wilcoxon","0.000155400155400155","Reject H0"
"codon","python","energy_consumption","large","Wilcoxon","4.11353352529823e-05","Reject H0"
"codon","cpp","energy_consumption","large","T-test","3.9616182559056e-19","Reject H0"
"codon","python","execution_time","small","Wilcoxon","2.16501764489381e-05","Reject H0"
"codon","cpp","execution_time","small","Wilcoxon","0.000174825174825175","Reject H0"
"codon","python","execution_time","medium","T-test","1.4230168075868e-20","Reject H0"
"codon","cpp","execution_time","medium","Wilcoxon","0.000155400155400155","Reject H0"
"codon","python","execution_time","large","Wilcoxon","4.11353352529823e-05","Reject H0"
"codon","cpp","execution_time","large","T-test","4.29768909766512e-13","Reject H0"
"codon","python","cpu_usage","small","Wilcoxon","2.16501764489381e-05","Reject H0"
"codon","cpp","cpu_usage","small","Wilcoxon","0.000174825174825175","Reject H0"
"codon","python","cpu_usage","medium","T-test","8.42544505236281e-10","Reject H0"
"codon","cpp","cpu_usage","medium","T-test","5.47546897143413e-14","Reject H0"
"codon","python","cpu_usage","large","Wilcoxon","4.11353352529823e-05","Reject H0"
"codon","cpp","cpu_usage","large","T-test","1.36849605691127e-07","Reject H0"
"codon","python","mem_usage","small","Wilcoxon","2.16501764489381e-05","Reject H0"
"codon","cpp","mem_usage","small","Wilcoxon","0.000174825174825175","Reject H0"
"codon","python","mem_usage","medium","T-test","7.64791520704366e-16","Reject H0"
"codon","cpp","mem_usage","medium","Wilcoxon","0.000930972271575002","Reject H0"
"codon","python","mem_usage","large","Wilcoxon","4.11353352529823e-05","Reject H0"
"codon","cpp","mem_usage","large","Wilcoxon","0.000409460108853158","Reject H0"
"codon","python","compile_time","small","Not Applicable","Not Applicable","Not Applicable"
"codon","cpp","compile_time","small","T-test","1.91559389454088e-19","Reject H0"
"codon","python","compile_time","medium","Not Applicable","Not Applicable","Not Applicable"
"codon","cpp","compile_time","medium","Wilcoxon","0.000155400155400155","Reject H0"
"codon","python","compile_time","large","Not Applicable","Not Applicable","Not Applicable"
"codon","cpp","compile_time","large","T-test","1.14184822845914e-22","Reject H0"
