Comparison,SIZE_CATEGORY,Metric,Improvement
codon_python,large,energy_consumption,96.64654540207992
codon_python,medium,energy_consumption,96.74088488929719
codon_python,small,energy_consumption,97.45507750955495
codon_python,large,execution_time,94.68633895582072
codon_python,medium,execution_time,94.43447691729912
codon_python,small,execution_time,93.45129452720944
codon_python,large,cpu_usage,-44.13761193382182
codon_python,medium,cpu_usage,-43.52502337581814
codon_python,small,cpu_usage,-43.78983915017871
codon_python,large,mem_usage,84.82437040936966
codon_python,medium,mem_usage,84.60382626254301
codon_python,small,mem_usage,83.9546815462647
codon_cpp,large,energy_consumption,-89.39504116334304
codon_cpp,medium,energy_consumption,-125.73688676673005
codon_cpp,small,energy_consumption,-143.73670942844947
codon_cpp,large,execution_time,-26.959410184475068
codon_cpp,medium,execution_time,-28.05128873371033
codon_cpp,small,execution_time,-22.49125301245107
codon_cpp,large,cpu_usage,-49.51572170681598
codon_cpp,medium,cpu_usage,-59.18994148505179
codon_cpp,small,cpu_usage,-65.49416395639531
codon_cpp,large,mem_usage,-286.3335457470731
codon_cpp,medium,mem_usage,-306.97007863294414
codon_cpp,small,mem_usage,-304.62069610870606
codon_cpp,large,compile_time,-291.8319703533156
codon_cpp,medium,compile_time,-295.8030098091342
codon_cpp,small,compile_time,-297.6117019855647
