"Method1","Method2","Metric","Size","Test_Type","P_Value","Decision"
"codon","python","energy_consumption","small","Wilcoxon",0.000666000666000666,"Reject H0"
"codon","cpp","energy_consumption","small","Wilcoxon",0.297702297702298,"Fail to reject H0"
"codon","python","energy_consumption","medium","Wilcoxon",2.16501764489381e-05,"Reject H0"
"codon","cpp","energy_consumption","medium","T-test",0.0892766932919487,"Fail to reject H0"
"codon","python","energy_consumption","large","Wilcoxon",0.000310800310800311,"Reject H0"
"codon","cpp","energy_consumption","large","T-test",0.00244529886751901,"Reject H0"
"codon","python","execution_time","small","Wilcoxon",0.000666000666000666,"Reject H0"
"codon","cpp","execution_time","small","Wilcoxon",0.797202797202797,"Fail to reject H0"
"codon","python","execution_time","medium","Wilcoxon",2.16501764489381e-05,"Reject H0"
"codon","cpp","execution_time","medium","Wilcoxon",0.0342794460441519,"Reject H0"
"codon","python","execution_time","large","Wilcoxon",0.000310800310800311,"Reject H0"
"codon","cpp","execution_time","large","Wilcoxon",0.0078979843685726,"Reject H0"
"codon","python","cpu_usage","small","Wilcoxon",0.000666000666000666,"Reject H0"
"codon","cpp","cpu_usage","small","T-test",0.231311144178657,"Fail to reject H0"
"codon","python","cpu_usage","medium","Wilcoxon",0.0279287276191301,"Reject H0"
"codon","cpp","cpu_usage","medium","T-test",0.320718979011906,"Fail to reject H0"
"codon","python","cpu_usage","large","Wilcoxon",0.013986013986014,"Reject H0"
"codon","cpp","cpu_usage","large","T-test",0.391269909694505,"Fail to reject H0"
"codon","python","mem_usage","small","Wilcoxon",NA,NA
"codon","cpp","mem_usage","small","Wilcoxon",NA,NA
"codon","python","mem_usage","medium","Wilcoxon",0.000216551332265468,"Reject H0"
"codon","cpp","mem_usage","medium","Wilcoxon",0.0576493924295947,"Fail to reject H0"
"codon","python","mem_usage","large","Wilcoxon",0.00133479083101299,"Reject H0"
"codon","cpp","mem_usage","large","Wilcoxon",0.000196935398647868,"Reject H0"
"codon","python","compile_time","small","Wilcoxon",0.000353201445005988,"Reject H0"
"codon","cpp","compile_time","small","T-test",2.24765815433156e-12,"Reject H0"
"codon","python","compile_time","medium","Wilcoxon",0.000122435183530585,"Reject H0"
"codon","cpp","compile_time","medium","Wilcoxon",4.57059280588692e-05,"Reject H0"
"codon","python","compile_time","large","Wilcoxon",0.000794635900585447,"Reject H0"
"codon","cpp","compile_time","large","Wilcoxon",8.22706705059646e-05,"Reject H0"
