Comparison,SIZE_CATEGORY,Metric,Improvement
codon_python,large,energy_consumption,97.50182050990219
codon_python,medium,energy_consumption,97.97701397687044
codon_python,small,energy_consumption,98.29102113787562
codon_python,large,execution_time,95.70295151232487
codon_python,medium,execution_time,94.96315104955994
codon_python,small,execution_time,93.05234739630474
codon_python,large,cpu_usage,-0.01689949015692971
codon_python,medium,cpu_usage,11.367304912063293
codon_python,small,cpu_usage,24.509867935312702
codon_python,large,mem_usage,100
codon_python,medium,mem_usage,0
codon_python,small,mem_usage,0
codon_cpp,large,energy_consumption,2.3123614882426384
codon_cpp,medium,energy_consumption,20.1134071124722
codon_cpp,small,energy_consumption,NA
codon_cpp,large,execution_time,-2.744130892678025
codon_cpp,medium,execution_time,13.190579857569762
codon_cpp,small,execution_time,5.066316628330206
codon_cpp,large,cpu_usage,-3.9591394004658755
codon_cpp,medium,cpu_usage,0.3529749254232607
codon_cpp,small,cpu_usage,-3.96914829226115
codon_cpp,large,mem_usage,0
codon_cpp,medium,mem_usage,0
codon_cpp,small,mem_usage,0
codon_cpp,large,compile_time,-300.3236480877477
codon_cpp,medium,compile_time,-303.7764448072304
codon_cpp,small,compile_time,-308.44783277262565
