Method1,Method2,Metric,Size,Test_Type,P_Value,Decision,Subject
codon,python,compile_time,small,Wilcoxon,0.00389048734268555,Reject H0,binary_trees
codon,cpp,compile_time,small,T-test,2.5348687581147502e-14,Reject H0,binary_trees
codon,python,compile_time,medium,Wilcoxon,0.00277843011009903,Reject H0,binary_trees
codon,cpp,compile_time,medium,T-test,6.6306236159653496e-18,Reject H0,binary_trees
codon,python,compile_time,large,Wilcoxon,6.1374428932248e-4,Reject H0,binary_trees
codon,cpp,compile_time,large,T-test,7.718456981313519e-20,Reject H0,binary_trees
codon,python,compile_time,small,Wilcoxon,3.1015559256927e-4,Reject H0,fasta
codon,cpp,compile_time,small,Wilcoxon,4.11353352529823e-5,Reject H0,fasta
codon,python,compile_time,medium,Wilcoxon,1.6360174148184e-4,Reject H0,fasta
codon,cpp,compile_time,medium,T-test,1.18874091483189e-31,Reject H0,fasta
codon,python,compile_time,large,Wilcoxon,4.8538863784938e-4,Reject H0,fasta
codon,cpp,compile_time,large,Wilcoxon,4.57059280588692e-5,Reject H0,fasta
codon,python,compile_time,small,Wilcoxon,8.53561026889899e-5,Reject H0,float
codon,cpp,compile_time,small,T-test,1.9155938945408798e-19,Reject H0,float
codon,python,compile_time,medium,Wilcoxon,0.00159009504124524,Reject H0,float
codon,cpp,compile_time,medium,Wilcoxon,1.5540015540015e-4,Reject H0,float
codon,python,compile_time,large,Wilcoxon,1.6100130228057e-4,Reject H0,float
codon,cpp,compile_time,large,T-test,1.14184822845914e-22,Reject H0,float
codon,python,compile_time,small,Wilcoxon,3.5320144500598e-4,Reject H0,mandelbrot
codon,cpp,compile_time,small,T-test,2.24765815433156e-12,Reject H0,mandelbrot
codon,python,compile_time,medium,Wilcoxon,1.2243518353058e-4,Reject H0,mandelbrot
codon,cpp,compile_time,medium,Wilcoxon,4.57059280588692e-5,Reject H0,mandelbrot
codon,python,compile_time,large,Wilcoxon,7.9463590058544e-4,Reject H0,mandelbrot
codon,cpp,compile_time,large,Wilcoxon,8.22706705059646e-5,Reject H0,mandelbrot
codon,python,compile_time,small,Wilcoxon,1.6360174148184e-4,Reject H0,nbody
codon,cpp,compile_time,small,Wilcoxon,3.1080031080031e-4,Reject H0,nbody
codon,python,compile_time,medium,Wilcoxon,1.2243518353058e-4,Reject H0,nbody
codon,cpp,compile_time,medium,Wilcoxon,4.57059280588692e-5,Reject H0,nbody
codon,python,compile_time,large,Wilcoxon,1.6360174148184e-4,Reject H0,nbody
codon,cpp,compile_time,large,T-test,4.36654389315628e-15,Reject H0,nbody
codon,python,compile_time,small,Wilcoxon,1.1667609241016e-4,Reject H0,nsieve
codon,cpp,compile_time,small,Wilcoxon,8.22706705059646e-5,Reject H0,nsieve
codon,python,compile_time,medium,Wilcoxon,0.00105757508393252,Reject H0,nsieve
codon,cpp,compile_time,medium,Wilcoxon,3.1080031080031e-4,Reject H0,nsieve
codon,python,compile_time,large,Wilcoxon,5.5662704576998e-4,Reject H0,nsieve
codon,cpp,compile_time,large,T-test,9.265711063208411e-17,Reject H0,nsieve
codon,python,compile_time,small,Wilcoxon,8.53561026889899e-5,Reject H0,set_partition
codon,cpp,compile_time,small,T-test,2.81258879935159e-31,Reject H0,set_partition
codon,python,compile_time,medium,Wilcoxon,2.9929039198539e-4,Reject H0,set_partition
codon,cpp,compile_time,medium,T-test,3.4823227026275796e-19,Reject H0,set_partition
codon,python,compile_time,large,Wilcoxon,3.1015559256927e-4,Reject H0,set_partition
codon,cpp,compile_time,large,Wilcoxon,2.16501764489381e-5,Reject H0,set_partition
codon,python,compile_time,small,Wilcoxon,7.9463590058544e-4,Reject H0,spectral_norm
codon,cpp,compile_time,small,T-test,7.53977109742794e-16,Reject H0,spectral_norm
codon,python,compile_time,medium,Wilcoxon,2.1664965399869e-4,Reject H0,spectral_norm
codon,cpp,compile_time,medium,Wilcoxon,0.00404040404040404,Reject H0,spectral_norm
codon,python,compile_time,large,Wilcoxon,0.00420046265106426,Reject H0,spectral_norm
codon,cpp,compile_time,large,T-test,2.16595289533787e-27,Reject H0,spectral_norm
codon,python,compile_time,small,Wilcoxon,1.1667609241016e-4,Reject H0,taq
codon,cpp,compile_time,small,T-test,2.58357206224945e-24,Reject H0,taq
codon,python,compile_time,medium,Wilcoxon,8.53561026889899e-5,Reject H0,taq
codon,cpp,compile_time,medium,T-test,9.51238867346747e-30,Reject H0,taq
codon,python,compile_time,large,Wilcoxon,1.1667609241016e-4,Reject H0,taq
codon,cpp,compile_time,large,T-test,4.97757390996671e-21,Reject H0,taq
codon,python,cpu_usage,small,Wilcoxon,0.662337662337662,Fail to reject H0,binary_trees
codon,cpp,cpu_usage,small,Wilcoxon,0.00252525252525253,Reject H0,binary_trees
codon,python,cpu_usage,medium,Wilcoxon,0.00216450216450216,Reject H0,binary_trees
codon,cpp,cpu_usage,medium,Wilcoxon,0.00432900432900433,Reject H0,binary_trees
codon,python,cpu_usage,large,Wilcoxon,1.7482517482517e-4,Reject H0,binary_trees
codon,cpp,cpu_usage,large,T-test,1.88283615075374e-8,Reject H0,binary_trees
codon,python,cpu_usage,small,Wilcoxon,0.16717400246812,Fail to reject H0,fasta
codon,cpp,cpu_usage,small,T-test,2.55672756663118e-7,Reject H0,fasta
codon,python,cpu_usage,medium,Wilcoxon,0.0878239407651172,Fail to reject H0,fasta
codon,cpp,cpu_usage,medium,T-test,2.1343220456561e-4,Reject H0,fasta
codon,python,cpu_usage,large,T-test,2.74401418036796e-8,Reject H0,fasta
codon,cpp,cpu_usage,large,T-test,4.95174183577022e-6,Reject H0,fasta
codon,python,cpu_usage,small,Wilcoxon,2.16501764489381e-5,Reject H0,float
codon,cpp,cpu_usage,small,Wilcoxon,1.7482517482517e-4,Reject H0,float
codon,python,cpu_usage,medium,T-test,8.42544505236281e-10,Reject H0,float
codon,cpp,cpu_usage,medium,T-test,5.47546897143413e-14,Reject H0,float
codon,python,cpu_usage,large,Wilcoxon,4.11353352529823e-5,Reject H0,float
codon,cpp,cpu_usage,large,T-test,1.36849605691127e-7,Reject H0,float
codon,python,cpu_usage,small,Wilcoxon,6.6600066600066e-4,Reject H0,mandelbrot
codon,cpp,cpu_usage,small,T-test,0.231311144178657,Fail to reject H0,mandelbrot
codon,python,cpu_usage,medium,Wilcoxon,0.0279287276191301,Reject H0,mandelbrot
codon,cpp,cpu_usage,medium,T-test,0.320718979011906,Fail to reject H0,mandelbrot
codon,python,cpu_usage,large,Wilcoxon,0.013986013986014,Reject H0,mandelbrot
codon,cpp,cpu_usage,large,T-test,0.391269909694505,Fail to reject H0,mandelbrot
codon,python,cpu_usage,small,Wilcoxon,1.0283833813245e-4,Reject H0,nbody
codon,cpp,cpu_usage,small,T-test,0.054280950951946,Fail to reject H0,nbody
codon,python,cpu_usage,medium,Wilcoxon,0.182316135876507,Fail to reject H0,nbody
codon,cpp,cpu_usage,medium,T-test,0.457769532063602,Fail to reject H0,nbody
codon,python,cpu_usage,large,Wilcoxon,0.0249897161661868,Reject H0,nbody
codon,cpp,cpu_usage,large,T-test,0.808387729128056,Fail to reject H0,nbody
codon,python,cpu_usage,small,Wilcoxon,0.696466931761049,Fail to reject H0,nsieve
codon,cpp,cpu_usage,small,T-test,0.489696167446312,Fail to reject H0,nsieve
codon,python,cpu_usage,medium,Wilcoxon,0.128205128205128,Fail to reject H0,nsieve
codon,cpp,cpu_usage,medium,T-test,0.282521362655595,Fail to reject H0,nsieve
codon,python,cpu_usage,large,Wilcoxon,0.189277389277389,Fail to reject H0,nsieve
codon,cpp,cpu_usage,large,T-test,0.083119912914878,Fail to reject H0,nsieve
codon,python,cpu_usage,small,T-test,0.0619560386150008,Fail to reject H0,set_partition
codon,cpp,cpu_usage,small,T-test,9.67979117492657e-8,Reject H0,set_partition
codon,python,cpu_usage,medium,Wilcoxon,1.7482517482517e-4,Reject H0,set_partition
codon,cpp,cpu_usage,medium,T-test,1.5452384825785e-5,Reject H0,set_partition
codon,python,cpu_usage,large,Wilcoxon,8.22706705059646e-5,Reject H0,set_partition
codon,cpp,cpu_usage,large,Wilcoxon,2.16501764489381e-5,Reject H0,set_partition
codon,python,cpu_usage,small,Wilcoxon,0.00144578070089475,Reject H0,spectral_norm
codon,cpp,cpu_usage,small,T-test,0.384529473752776,Fail to reject H0,spectral_norm
codon,python,cpu_usage,medium,Wilcoxon,8.22706705059646e-5,Reject H0,spectral_norm
codon,cpp,cpu_usage,medium,Wilcoxon,1,Fail to reject H0,spectral_norm
codon,python,cpu_usage,large,Wilcoxon,0.267676767676768,Fail to reject H0,spectral_norm
codon,cpp,cpu_usage,large,T-test,0.571360387193377,Fail to reject H0,spectral_norm
codon,python,cpu_usage,small,Wilcoxon,0.00137117784176608,Reject H0,taq
codon,cpp,cpu_usage,small,T-test,0.0872847813984681,Fail to reject H0,taq
codon,python,cpu_usage,medium,Wilcoxon,0.053475935828877,Fail to reject H0,taq
codon,cpp,cpu_usage,medium,T-test,0.663797118708666,Fail to reject H0,taq
codon,python,cpu_usage,large,Wilcoxon,0.315416609534257,Fail to reject H0,taq
codon,cpp,cpu_usage,large,T-test,0.878125065532648,Fail to reject H0,taq
codon,python,energy_consumption,small,Wilcoxon,0.00432900432900433,Reject H0,binary_trees
codon,cpp,energy_consumption,small,Wilcoxon,0.148989898989899,Fail to reject H0,binary_trees
codon,python,energy_consumption,medium,Wilcoxon,0.00216450216450216,Reject H0,binary_trees
codon,cpp,energy_consumption,medium,Wilcoxon,0.428571428571429,Fail to reject H0,binary_trees
codon,python,energy_consumption,large,Wilcoxon,1.7482517482517e-4,Reject H0,binary_trees
codon,cpp,energy_consumption,large,Wilcoxon,8.22706705059646e-5,Reject H0,binary_trees
codon,python,energy_consumption,small,Wilcoxon,8.22706705059646e-5,Reject H0,fasta
codon,cpp,energy_consumption,small,Wilcoxon,4.11353352529823e-5,Reject H0,fasta
codon,python,energy_consumption,medium,Wilcoxon,1.0283833813245e-4,Reject H0,fasta
codon,cpp,energy_consumption,medium,Wilcoxon,1.0283833813245e-4,Reject H0,fasta
codon,python,energy_consumption,large,T-test,4.02349146921008e-20,Reject H0,fasta
codon,cpp,energy_consumption,large,Wilcoxon,4.57059280588692e-5,Reject H0,fasta
codon,python,energy_consumption,small,Wilcoxon,2.16501764489381e-5,Reject H0,float
