Subject,SIZE_CATEGORY,Metric,mean_codon,mean_cpp,mean_python,codon_vs_cpp,codon_vs_python
binary_trees,large,mean_compile_time,2.3211941333333335,0.5719131125,0,cpp<codon,NA
binary_trees,medium,mean_compile_time,2.30220765,0.56974994,0,cpp<codon,NA
binary_trees,small,mean_compile_time,2.33513614,0.5635344714285715,0,cpp<codon,NA
fasta,large,mean_compile_time,2.47902179,0.4045119,0,cpp<codon,NA
fasta,medium,mean_compile_time,2.4933642,0.42087302,0,cpp<codon,NA
fasta,small,mean_compile_time,2.4894835,0.4117255444444444,0,cpp<codon,NA
float,large,mean_compile_time,2.4650187,0.6252821777777777,0,cpp<codon,NA
float,medium,mean_compile_time,2.469958575,0.6205104875,0,cpp<codon,NA
float,small,mean_compile_time,2.467895422222222,0.6182947142857143,0,cpp<codon,NA
mandelbrot,large,mean_compile_time,2.2905154625,0.5705829111111111,0,cpp<codon,NA
mandelbrot,medium,mean_compile_time,2.28695567,0.5677474875,0,cpp<codon,NA
mandelbrot,small,mean_compile_time,2.28298282,0.5690596888888889,0,cpp<codon,NA
nbody,large,mean_compile_time,2.8161964,1.05951305,0,cpp<codon,NA
nbody,medium,mean_compile_time,2.83806194,1.0602199,0,cpp<codon,NA
nbody,small,mean_compile_time,2.8486052285714285,1.052608225,0,cpp<codon,NA
nsieve,large,mean_compile_time,2.175761185714286,0.597230925,0,cpp<codon,NA
nsieve,medium,mean_compile_time,2.1970263142857145,0.595128125,0,cpp<codon,NA
nsieve,small,mean_compile_time,2.1652940875,0.6149092555555555,0,cpp<codon,NA
set_partition,large,mean_compile_time,3.108955211111111,0.95683995,0,cpp<codon,NA
set_partition,medium,mean_compile_time,3.1232126,0.9615679,0,cpp<codon,NA
set_partition,small,mean_compile_time,3.158083988888889,0.9655325222222222,0,cpp<codon,NA
spectral_norm,large,mean_compile_time,2.2960989857142855,0.6574123444444444,0,cpp<codon,NA
spectral_norm,medium,mean_compile_time,2.3291236875,0.6585844,0,cpp<codon,NA
spectral_norm,small,mean_compile_time,2.334419625,0.6623411,0,cpp<codon,NA
taq,large,mean_compile_time,5.3198376125,1.469032477777778,0,cpp<codon,NA
taq,medium,mean_compile_time,5.332541533333333,1.4773358125,0,cpp<codon,NA
taq,small,mean_compile_time,5.3189449374999995,1.46427057,0,cpp<codon,NA
binary_trees,large,mean_cpu_usage,157.15955555555556,97.2344375,99.71911428571428,cpp<codon,python<codon
binary_trees,medium,mean_cpu_usage,145.32116666666667,93.90394,99.421,cpp<codon,python<codon
