Comparison,SIZE_CATEGORY,Metric,Improvement
codon_python,large,energy_consumption,96.30350103690898
codon_python,medium,energy_consumption,99.583829530012
codon_python,small,energy_consumption,97.26968501052016
codon_python,large,execution_time,95.00286360697604
codon_python,medium,execution_time,92.72154334215806
codon_python,small,execution_time,91.28930579030188
codon_python,large,cpu_usage,3.7600106062295904
codon_python,medium,cpu_usage,6.141511822100187
codon_python,small,cpu_usage,14.23936123664843
codon_python,large,mem_usage,0
codon_python,medium,mem_usage,0
codon_python,small,mem_usage,0
codon_cpp,large,energy_consumption,-24.867556642259323
codon_cpp,medium,energy_consumption,-19.39329136272033
codon_cpp,small,energy_consumption,-71.24227591204631
codon_cpp,large,execution_time,-16.67569923268084
codon_cpp,medium,execution_time,-9.952259174283851
codon_cpp,small,execution_time,-19.18012204122199
codon_cpp,large,cpu_usage,1.3147648867452575
codon_cpp,medium,cpu_usage,-2.378237526374854
codon_cpp,small,cpu_usage,-13.132760394164599
codon_cpp,large,mem_usage,0
codon_cpp,medium,mem_usage,0
codon_cpp,small,mem_usage,0
codon_cpp,large,compile_time,-167.33746837701017
codon_cpp,medium,compile_time,-167.3736097982696
codon_cpp,small,compile_time,-169.8200453699674
