"Method1","Method2","Metric","Size","Test_Type","P_Value","Decision"
"codon","python","energy_consumption","small","Wilcoxon",4.57059280588692e-05,"Reject H0"
"codon","cpp","energy_consumption","small","T-test",0.073716169686356,"Fail to reject H0"
"codon","python","energy_consumption","medium","Wilcoxon",0.000582750582750583,"Reject H0"
"codon","cpp","energy_consumption","medium","T-test",3.0651700514346e-05,"Reject H0"
"codon","python","energy_consumption","large","Wilcoxon",0.000310800310800311,"Reject H0"
"codon","cpp","energy_consumption","large","Wilcoxon",0.000310800310800311,"Reject H0"
"codon","python","execution_time","small","Wilcoxon",4.57059280588692e-05,"Reject H0"
"codon","cpp","execution_time","small","Wilcoxon",8.22706705059646e-05,"Reject H0"
"codon","python","execution_time","medium","Wilcoxon",0.000582750582750583,"Reject H0"
"codon","cpp","execution_time","medium","Wilcoxon",0.000310800310800311,"Reject H0"
"codon","python","execution_time","large","Wilcoxon",0.000310800310800311,"Reject H0"
"codon","cpp","execution_time","large","T-test",5.65562493018082e-17,"Reject H0"
"codon","python","cpu_usage","small","Wilcoxon",0.696466931761049,"Fail to reject H0"
"codon","cpp","cpu_usage","small","T-test",0.489696167446312,"Fail to reject H0"
"codon","python","cpu_usage","medium","Wilcoxon",0.128205128205128,"Fail to reject H0"
"codon","cpp","cpu_usage","medium","T-test",0.282521362655595,"Fail to reject H0"
"codon","python","cpu_usage","large","Wilcoxon",0.189277389277389,"Fail to reject H0"
"codon","cpp","cpu_usage","large","T-test",0.083119912914878,"Fail to reject H0"
"codon","python","mem_usage","small","Wilcoxon",0.000415938307404834,"Reject H0"
"codon","cpp","mem_usage","small","Wilcoxon",0.000422341638419165,"Reject H0"
"codon","python","mem_usage","medium","Wilcoxon",0.00206877862166875,"Reject H0"
"codon","cpp","mem_usage","medium","Wilcoxon",0.00109393426268204,"Reject H0"
"codon","python","mem_usage","large","Wilcoxon",0.00143159048260136,"Reject H0"
"codon","cpp","mem_usage","large","Wilcoxon",0.00137573578468112,"Reject H0"
"codon","python","compile_time","small","Wilcoxon",0.00011667609241016,"Reject H0"
"codon","cpp","compile_time","small","Wilcoxon",8.22706705059646e-05,"Reject H0"
"codon","python","compile_time","medium","Wilcoxon",0.00105757508393252,"Reject H0"
"codon","cpp","compile_time","medium","Wilcoxon",0.000310800310800311,"Reject H0"
"codon","python","compile_time","large","Wilcoxon",0.00055662704576998,"Reject H0"
"codon","cpp","compile_time","large","T-test",9.26571106320841e-17,"Reject H0"
