Comparison,SIZE_CATEGORY,Metric,Improvement
codon_python,large,energy_consumption,94.34234867689202
codon_python,medium,energy_consumption,94.60113647104282
codon_python,small,energy_consumption,95.22106787903978
codon_python,large,execution_time,93.86064267727907
codon_python,medium,execution_time,93.60906995037259
codon_python,small,execution_time,93.00153776931354
codon_python,large,cpu_usage,1.2724552776332294
codon_python,medium,cpu_usage,1.6567470065554109
codon_python,small,cpu_usage,-0.27071929522307864
codon_python,large,mem_usage,83.64169418314658
codon_python,medium,mem_usage,84.04356624714298
codon_python,small,mem_usage,84.92050650154904
codon_cpp,large,energy_consumption,10.669327364533506
codon_cpp,medium,energy_consumption,10.433322799880365
codon_cpp,small,energy_consumption,5.376976535777701
codon_cpp,large,execution_time,11.854058937343542
codon_cpp,medium,execution_time,11.446153161532138
codon_cpp,small,execution_time,7.7977285347726575
codon_cpp,large,cpu_usage,2.0816265584948987
codon_cpp,medium,cpu_usage,-0.8020920476291166
codon_cpp,small,cpu_usage,-3.5114587975764207
codon_cpp,large,mem_usage,-868.74788608536835
codon_cpp,medium,mem_usage,-848.52102807259
codon_cpp,small,mem_usage,-798.989898989899
codon_cpp,large,compile_time,-263.18765504705135
codon_cpp,medium,compile_time,-265.2851927941432
codon_cpp,small,compile_time,-259.04933406895674
