Comparison,SIZE_CATEGORY,Metric,Improvement
codon_python,large,energy_consumption,79.18255821876147
codon_python,medium,energy_consumption,79.79085295820867
codon_python,small,energy_consumption,90.03330013843974
codon_python,large,execution_time,81.36361769084473
codon_python,medium,execution_time,79.55741862862989
codon_python,small,execution_time,69.12202707635547
codon_python,large,cpu_usage,-30.015225153470627
codon_python,medium,cpu_usage,-27.691246337446984
codon_python,small,cpu_usage,-5.9881288245863
codon_python,large,mem_usage,0
codon_python,medium,mem_usage,0
codon_python,small,mem_usage,0
codon_cpp,large,energy_consumption,-9.747027723258968
codon_cpp,medium,energy_consumption,-32.00954462908865
codon_cpp,small,energy_consumption,0.05206182312506093
codon_cpp,large,execution_time,6.19328697838032
codon_cpp,medium,execution_time,3.937125099265157
codon_cpp,small,execution_time,-0.7293590309216424
codon_cpp,large,cpu_usage,-30.273212177146796
codon_cpp,medium,cpu_usage,-31.016714613641078
codon_cpp,small,cpu_usage,-32.82633306989983
codon_cpp,large,mem_usage,0
codon_cpp,medium,mem_usage,0
codon_cpp,small,mem_usage,0
codon_cpp,large,compile_time,-226.0436669685458
codon_cpp,medium,compile_time,-225.963972578483
codon_cpp,small,compile_time,-224.6563647491482
