"Method1","Method2","Metric","Size","Test_Type","P_Value","Decision"
"codon","python","energy_consumption","small","Wilcoxon",0.000310800310800311,"Reject H0"
"codon","cpp","energy_consumption","small","Wilcoxon",0.4234471410942,"Fail to reject H0"
"codon","python","energy_consumption","medium","Wilcoxon",8.22706705059646e-05,"Reject H0"
"codon","cpp","energy_consumption","medium","Wilcoxon",0.153535353535354,"Fail to reject H0"
"codon","python","energy_consumption","large","T-test",2.27606830482811e-05,"Reject H0"
"codon","cpp","energy_consumption","large","T-test",0.80946294522867,"Fail to reject H0"
"codon","python","execution_time","small","Wilcoxon",0.000310800310800311,"Reject H0"
"codon","cpp","execution_time","small","Wilcoxon",0.19958864664747,"Fail to reject H0"
"codon","python","execution_time","medium","Wilcoxon",8.22706705059646e-05,"Reject H0"
"codon","cpp","execution_time","medium","Wilcoxon",0.153535353535354,"Fail to reject H0"
"codon","python","execution_time","large","T-test",1.80624611145062e-05,"Reject H0"
"codon","cpp","execution_time","large","Wilcoxon",0.173776223776224,"Fail to reject H0"
"codon","python","cpu_usage","small","Wilcoxon",0.00144578070089475,"Reject H0"
"codon","cpp","cpu_usage","small","T-test",0.384529473752776,"Fail to reject H0"
"codon","python","cpu_usage","medium","Wilcoxon",8.22706705059646e-05,"Reject H0"
"codon","cpp","cpu_usage","medium","Wilcoxon",1,"Fail to reject H0"
"codon","python","cpu_usage","large","Wilcoxon",0.267676767676768,"Fail to reject H0"
"codon","cpp","cpu_usage","large","T-test",0.571360387193377,"Fail to reject H0"
"codon","python","mem_usage","small","Wilcoxon",NA,NA
"codon","cpp","mem_usage","small","Wilcoxon",NA,NA
"codon","python","mem_usage","medium","Wilcoxon",NA,NA
"codon","cpp","mem_usage","medium","Wilcoxon",NA,NA
"codon","python","mem_usage","large","Wilcoxon",NA,NA
"codon","cpp","mem_usage","large","Wilcoxon",NA,NA
"codon","python","compile_time","small","Wilcoxon",0.000794635900585447,"Reject H0"
"codon","cpp","compile_time","small","T-test",7.53977109742794e-16,"Reject H0"
"codon","python","compile_time","medium","Wilcoxon",0.00021664965399869,"Reject H0"
"codon","cpp","compile_time","medium","Wilcoxon",0.00404040404040404,"Reject H0"
"codon","python","compile_time","large","Wilcoxon",0.00420046265106426,"Reject H0"
"codon","cpp","compile_time","large","T-test",2.16595289533787e-27,"Reject H0"
