Comparison,SIZE_CATEGORY,Metric,Improvement
codon_python,large,energy_consumption,99.21700114844212
codon_python,medium,energy_consumption,99.28093433218926
codon_python,small,energy_consumption,99.54269094379931
codon_python,large,execution_time,98.39283491461607
codon_python,medium,execution_time,97.83587841709067
codon_python,small,execution_time,97.64044519213697
codon_python,large,cpu_usage,4.023674002084608
codon_python,medium,cpu_usage,10.119239940299279
codon_python,small,cpu_usage,14.036857652559881
codon_python,large,mem_usage,0
codon_python,medium,mem_usage,0
codon_python,small,mem_usage,0
codon_cpp,large,energy_consumption,1.3385518447770672
codon_cpp,medium,energy_consumption,-31.08835575243532
codon_cpp,small,energy_consumption,0.38087109345708875
codon_cpp,large,execution_time,0.42373594437965867
codon_cpp,medium,execution_time,-5.274535724363614
codon_cpp,small,execution_time,-1.8940056545880504
codon_cpp,large,cpu_usage,-2.6209688849059978
codon_cpp,medium,cpu_usage,-3.1505811027298587
codon_cpp,small,cpu_usage,-1.1362281803443444
codon_cpp,large,mem_usage,0
codon_cpp,medium,mem_usage,0
codon_cpp,small,mem_usage,0
codon_cpp,large,compile_time,-302.3460138134849
codon_cpp,medium,compile_time,39.39140252792115
codon_cpp,small,compile_time,-249.7106289240119
