"Method1","Method2","Metric","Size","Test_Type","P_Value","Decision"
"codon","python","energy_consumption","small","Wilcoxon",4.57059280588692e-05,"Reject H0"
"codon","cpp","energy_consumption","small","Wilcoxon",4.57059280588692e-05,"Reject H0"
"codon","python","energy_consumption","medium","Wilcoxon",2.16501764489381e-05,"Reject H0"
"codon","cpp","energy_consumption","medium","Wilcoxon",8.22706705059646e-05,"Reject H0"
"codon","python","energy_consumption","large","Wilcoxon",4.57059280588692e-05,"Reject H0"
"codon","cpp","energy_consumption","large","Wilcoxon",0.888358700123406,"Fail to reject H0"
"codon","python","execution_time","small","Wilcoxon",4.57059280588692e-05,"Reject H0"
"codon","cpp","execution_time","small","Wilcoxon",4.57059280588692e-05,"Reject H0"
"codon","python","execution_time","medium","Wilcoxon",2.16501764489381e-05,"Reject H0"
"codon","cpp","execution_time","medium","Wilcoxon",8.22706705059646e-05,"Reject H0"
"codon","python","execution_time","large","Wilcoxon",4.57059280588692e-05,"Reject H0"
"codon","cpp","execution_time","large","Wilcoxon",0.113944878650761,"Fail to reject H0"
"codon","python","cpu_usage","small","Wilcoxon",0.00137117784176608,"Reject H0"
"codon","cpp","cpu_usage","small","T-test",0.0872847813984681,"Fail to reject H0"
"codon","python","cpu_usage","medium","Wilcoxon",0.053475935828877,"Fail to reject H0"
"codon","cpp","cpu_usage","medium","T-test",0.663797118708666,"Fail to reject H0"
"codon","python","cpu_usage","large","Wilcoxon",0.315416609534257,"Fail to reject H0"
"codon","cpp","cpu_usage","large","T-test",0.878125065532648,"Fail to reject H0"
"codon","python","mem_usage","small","Wilcoxon",0.000442586351368153,"Reject H0"
"codon","cpp","mem_usage","small","Wilcoxon",0.000436563141131641,"Reject H0"
"codon","python","mem_usage","medium","Wilcoxon",0.000276259150885342,"Reject H0"
"codon","cpp","mem_usage","medium","Wilcoxon",0.000625790079642251,"Reject H0"
"codon","python","mem_usage","large","Wilcoxon",0.000439567454178243,"Reject H0"
"codon","cpp","mem_usage","large","Wilcoxon",0.000616175518027334,"Reject H0"
"codon","python","compile_time","small","Wilcoxon",0.00011667609241016,"Reject H0"
"codon","cpp","compile_time","small","T-test",2.58357206224945e-24,"Reject H0"
"codon","python","compile_time","medium","Wilcoxon",8.53561026889899e-05,"Reject H0"
"codon","cpp","compile_time","medium","T-test",9.51238867346747e-30,"Reject H0"
"codon","python","compile_time","large","Wilcoxon",0.00011667609241016,"Reject H0"
"codon","cpp","compile_time","large","T-test",4.97757390996671e-21,"Reject H0"
