Comparison,SIZE_CATEGORY,Metric,Improvement
codon_python,large,energy_consumption,98.3893433181169
codon_python,medium,energy_consumption,98.32710592801028
codon_python,small,energy_consumption,95.92714239369809
codon_python,large,execution_time,97.25028858626366
codon_python,medium,execution_time,96.60983932857145
codon_python,small,execution_time,88.41761001154018
codon_python,large,cpu_usage,2.3104872254908813
codon_python,medium,cpu_usage,7.395386849346562
codon_python,small,cpu_usage,9.384833980070823
codon_python,large,mem_usage,75.94248166739736
codon_python,medium,mem_usage,77.29605432680233
codon_python,small,mem_usage,67.907453049606
codon_cpp,large,energy_consumption,1.3555806032525506
codon_cpp,medium,energy_consumption,30.594418804097824
codon_cpp,small,energy_consumption,51.9733309701055
codon_cpp,large,execution_time,1.7679693613603042
codon_cpp,medium,execution_time,18.99994572320779
codon_cpp,small,execution_time,24.332398980489085
codon_cpp,large,cpu_usage,-2.5240797417749326
codon_cpp,medium,cpu_usage,2.7692362597020357
codon_cpp,small,cpu_usage,6.479179688804702
codon_cpp,large,mem_usage,-178.323862497649
codon_cpp,medium,mem_usage,-218.7425732373244
codon_cpp,small,mem_usage,-433.65796537349866
codon_cpp,large,compile_time,-261.83393706987704
codon_cpp,medium,compile_time,-263.6656922250622
codon_cpp,small,compile_time,-262.99189909147054
