run_number,execution_method,execution_time,tree_depth
1,cpp,.3154438,11
1,python,.4820559,11
1,codon,.2831282,11
2,cpp,.210969,2
2,python,.5052272,2
2,codon,.213826,2
3,cpp,.531899,14
3,python,3.1218502,14
3,codon,.2801044,14
4,cpp,.222262,10
4,python,.401636,10
4,codon,.233304,10
5,cpp,.211884,8
5,python,.333712,8
5,codon,.2166248,8
6,cpp,.206598,3
6,python,.319865,3
6,codon,.2843201,3
7,cpp,.2855599,10
7,python,.398028,10
7,codon,.2553799,10
8,cpp,.8630071,15
8,python,6.309843,15
8,codon,.4255826,15
9,cpp,3.1254589,17
9,python,48.330754,17
9,codon,.791217,17
10,cpp,13.861567,19
10,python,245.0416609,19
10,codon,2.945788,19
