run_number,execution_method,execution_time,tree_depth
1,cpp,3.3153039,16
1,python,22.183271,16
1,codon,.6006594,16
2,cpp,2.967125,16
2,python,21.8234319,16
2,codon,.547357,16
3,cpp,3.092391,16
3,python,22.1917941,16
3,codon,.531256,16
4,cpp,3.054737,16
4,python,23.142412,16
4,codon,.696319,16
5,cpp,3.050422,16
5,python,22.5905621,16
5,codon,.556865,16
6,cpp,3.144023,16
6,python,22.6150761,16
6,codon,.541853,16
7,cpp,3.176666,16
7,python,23.1088698,16
7,codon,.499589,16
8,cpp,3.086144,16
8,python,24.0777264,16
8,codon,.5538458,16
9,cpp,3.2354381,16
9,python,24.182517,16
9,codon,.515073,16
10,cpp,3.287951,16
10,python,22.8338532,16
10,codon,.502432,16
mean,cpp,3.1410201
mean,python,22.87495136
mean,codon,	0.55452492
