run_number,execution_method,execution_time,tree_depth
1,cpp,.3226108,3
1,python,.3092691,3
1,codon,.273236,3
2,cpp,.282242,4
2,python,.3237822,4
2,codon,.2168418,4
3,cpp,.2844868,6
3,python,.3177909,6
3,codon,.245465,6
4,cpp,.5306132,13
4,python,1.1840100,13
4,codon,.366976,13
5,cpp,.294314,2
5,python,.3222788,2
5,codon,.3636228,2
6,cpp,.5504848,13
6,python,1.4727764,13
6,codon,.244996,13
7,cpp,.2842821,1
7,python,.342277,1
7,codon,.2179069,1
8,cpp,.2975262,9
8,python,.365696,9
8,codon,.2288042,9
9,cpp,53.432827,20
9,python,612.425041,20
9,codon,6.1100432,20
10,cpp,.519947,13
10,python,1.2375682,13
10,codon,.224707,13
