run_number,execution_method,execution_time,SIZE
1,cpp,.2732022,9
1,python,4.0582911,9
1,codon,.5169128,9
2,cpp,.273948,9
2,python,4.191321,9
2,codon,.317972,9
3,cpp,.2120819,6
3,python,.358256,6
3,codon,.2204991,6
4,cpp,.214257,6
4,python,.323416,6
4,codon,.229989,6
5,cpp,.2811442,9
5,python,4.4848237,9
5,codon,.3067558,9
6,cpp,.251682,6
6,python,.4143367,6
6,codon,.2248921,6
7,cpp,.222847,3
7,python,.3099959,3
7,codon,.3176882,3
8,cpp,.2379452,6
8,python,.326170,6
8,codon,.219407,6
9,cpp,.213501,7
9,python,.3611421,7
9,codon,.223821,7
10,cpp,1.003879,10
10,python,46.2466031,10
10,codon,1.126481,10
