run_number,execution_method,execution_time,SIZE
1,cpp,2.565222,10
1,python,50.6369828,10
1,codon,1.1133919,10
2,cpp,2.487432,10
2,python,51.417364,10
2,codon,1.1001118,10
3,cpp,2.403787,10
3,python,46.724403,10
3,codon,1.0866702,10
4,cpp,2.4484852,10
4,python,47.590256,10
4,codon,1.144724,10
5,cpp,2.475428,10
5,python,47.1891552,10
5,codon,1.1108942,10
6,cpp,2.637658,10
6,python,50.364764,10
6,codon,1.1822258,10
7,cpp,2.563772,10
7,python,48.113093,10
7,codon,1.196925,10
8,cpp,2.5322378,10
8,python,50.442763,10
8,codon,1.279669,10
9,cpp,2.6959418,10
9,python,46.6348428,10
9,codon,1.1652554,10
10,cpp,2.730732,10
10,python,49.774750,10
10,codon,1.1015089,10
C++ Mean Execution Time: 2.55407 seconds
Python Mean Execution Time: 48.8888 seconds
Codon Mean Execution Time: 1.14814 seconds
