run_number,execution_method,execution_time,SIZE
1,cpp,.321249,738
1,python,.3177988,738
1,codon,.2982242,738
2,cpp,.245516,250
2,python,.430193,250
2,codon,.226923,250
3,cpp,.255392,358
3,python,.3856189,358
3,codon,.235022,358
4,cpp,.235510,131
4,python,.352297,131
4,codon,.2308499,131
5,cpp,.210232,133
5,python,.330369,133
5,codon,.2847171,133
6,cpp,.201677,427
6,python,.330639,427
6,codon,.240498,427
7,cpp,.2447071,786
7,python,.3553989,786
7,codon,.2944703,786
8,cpp,.219299,930
8,python,.425966,930
8,codon,.248013,930
9,cpp,.2171164,809
9,python,.323244,809
9,codon,.2751572,809
10,cpp,.2269219,754
10,python,.3236872,754
10,codon,.210852,754
