run_number,execution_method,execution_time,SIZE
1,cpp,.315982,10
1,python,.386563,10
1,codon,.291693,10
2,cpp,.2303899,7
2,python,.4228439,7
2,codon,.2991429,7
3,cpp,.2222858,1
3,python,.3094101,1
3,codon,.2212432,1
4,cpp,.225224,8
4,python,.3107152,8
4,codon,.225844,8
5,cpp,.235494,10
5,python,.3689528,10
5,codon,.225160,10
6,cpp,.2103670,4
6,python,.3144948,4
6,codon,.2138701,4
7,cpp,.2100536,2
7,python,.3971082,2
7,codon,.2418772,2
8,cpp,.2009912,8
8,python,.3159568,8
8,codon,.220490,8
9,cpp,.217927,1
9,python,.335934,1
9,codon,.3518702,1
10,cpp,.2339228,3
10,python,.3113212,3
10,codon,.220805,3
