run_number,execution_method,execution_time,SIZE
1,cpp,.2057649,9299
1,python,.437701,9299
1,codon,.225563,9299
2,cpp,.217457,11772
2,python,.402229,11772
2,codon,.219819,11772
3,cpp,.2154488,4181
3,python,.3491182,4181
3,codon,.324568,4181
4,cpp,.274293,31905
4,python,.5846488,31905
4,codon,.231455,31905
5,cpp,.223266,13164
5,python,.413853,13164
5,codon,.2380009,13164
6,cpp,.2255648,26203
6,python,.605992,26203
6,codon,.2366641,26203
7,cpp,.2212621,21365
7,python,.4993292,21365
7,codon,.226668,21365
8,cpp,.2212341,23851
8,python,.4974801,23851
8,codon,.2998539,23851
9,cpp,.226310,12162
9,python,.4086748,12162
9,codon,.220338,12162
10,cpp,.2230482,16250
10,python,.4628769,16250
10,codon,.222087,16250
