run_number,execution_method,execution_time,SIZE
1,cpp,.387061,3
1,python,.3316801,3
1,codon,.2664589,3
2,cpp,.4009206,11
2,python,11.743163,11
2,codon,.753866,11
3,cpp,.2879808,5
3,python,.3946262,5
3,codon,.2473591,5
4,cpp,.2127361,5
4,python,.4000488,5
4,codon,.219150,5
5,cpp,.3797701,11
5,python,11.290761,11
5,codon,.920044,11
6,cpp,.2298151,3
6,python,.3466881,3
6,codon,.250381,3
7,cpp,3.569830,14
7,python,99.6956642,14
7,codon,5.0102318,14
8,cpp,.385163,11
8,python,11.593083,11
8,codon,.5773808,11
9,cpp,.389803,11
9,python,11.359162,11
9,codon,.6483072,11
10,cpp,.3491671,9
10,python,2.890052,9
10,codon,.317726,9
