run_number,execution_method,execution_time,SIZE
1,cpp,.279742,74
1,python,.3570412,74
1,codon,.2342609,74
2,cpp,.312178,69
2,python,.357858,69
2,codon,.2393232,69
3,cpp,.220165,75
3,python,.329989,75
3,codon,.220605,75
4,cpp,.208380,86
4,python,.321309,86
4,codon,.214902,86
5,cpp,.218194,54
5,python,.317415,54
5,codon,.234335,54
6,cpp,.212167,42
6,python,.335994,42
6,codon,.246090,42
7,cpp,.236350,79
7,python,.333777,79
7,codon,.2315908,79
8,cpp,.2833161,70
8,python,.318563,70
8,codon,.2403951,70
9,cpp,.224407,51
9,python,.3567458,51
9,codon,.219732,51
10,cpp,.219295,60
10,python,.325201,60
10,codon,.2179182,60
