run_number,execution_method,execution_time,SIZE
1,cpp,.2766588,56
1,python,.331921,56
1,codon,.292358,56
2,cpp,.2209128,86
2,python,.335283,86
2,codon,.230369,86
3,cpp,.213916,26
3,python,.3441029,26
3,codon,.2360709,26
4,cpp,.2368038,37
4,python,.351467,37
4,codon,.276888,37
5,cpp,.272044,100
5,python,.337961,100
5,codon,.234058,100
6,cpp,.2431551,40
6,python,.342899,40
6,codon,.2362030,40
7,cpp,.214678,34
7,python,.3239229,34
7,codon,.2433278,34
8,cpp,.287481,83
8,python,.3613199,83
8,codon,.219066,83
9,cpp,.2314782,84
9,python,.361209,84
9,codon,.2314559,84
10,cpp,.2355802,86
10,python,.349434,86
10,codon,.2573104,86
