run_number,execution_method,execution_time,SIZE
1,cpp,.441071,11
1,python,.5464488,11
1,codon,.3098088,11
2,cpp,.3240399,11
2,python,.449099,11
2,codon,.2731128,11
3,cpp,.2403578,10
3,python,.3236129,10
3,codon,.220628,10
4,cpp,.2171851,9
4,python,.3302888,9
4,codon,.226307,9
5,cpp,.243539,11
5,python,.405168,11
5,codon,.220328,11
6,cpp,.2254542,10
6,python,.3294153,10
6,codon,.230375,10
7,cpp,.2129727,8
7,python,.3213722,8
7,codon,.2956617,8
8,cpp,.2757272,10
8,python,.3607872,10
8,codon,.242857,10
9,cpp,.2434018,7
9,python,.3324638,7
9,codon,.249531,7
10,cpp,.2570450,3
10,python,.339938,3
10,codon,.251110,3
