run_number,execution_method,execution_time,SIZE
1,cpp,.307009,5
1,python,.356561,5
1,codon,.329109,5
2,cpp,.217784,6
2,python,.370437,6
2,codon,.228719,6
3,cpp,.2170838,5
3,python,.3885201,5
3,codon,.2495149,5
4,cpp,.238218,7
4,python,.398130,7
4,codon,.324744,7
5,cpp,.247078,5
5,python,.367815,5
5,codon,.235945,5
6,cpp,.2404148,8
6,python,.397031,8
6,codon,.2490059,8
7,cpp,.2297619,6
7,python,.377806,6
7,codon,.2390551,6
8,cpp,.2231672,10
8,python,.452277,10
8,codon,.264628,10
9,cpp,.219234,3
9,python,.390870,3
9,codon,.2335589,3
10,cpp,.2143471,8
10,python,.417120,8
10,codon,.244848,8
