run_number,execution_method,execution_time,SIZE
1,cpp,.327460,4
1,python,.306925,4
1,codon,.2784588,4
2,cpp,.2158192,3
2,python,.329846,3
2,codon,.236766,3
3,cpp,.212896,5
3,python,.5657781,5
3,codon,.235110,5
4,cpp,.219628,4
4,python,.3231328,4
4,codon,.2215838,4
5,cpp,.211031,11
5,python,.3201704,11
5,codon,.235996,11
6,cpp,.355348,4
6,python,.3616688,4
6,codon,.2262442,4
7,cpp,.2070748,6
7,python,.3320611,6
7,codon,.233709,6
8,cpp,.2141791,8
8,python,.3200779,8
8,codon,.2496988,8
9,cpp,.232131,3
9,python,.420310,3
9,codon,.2137830,3
10,cpp,.216708,2
10,python,.3665739,2
10,codon,.2365482,2
